16/03/25 23:05:12 INFO input.FileInputFormat: Total input paths to process : 1
16/03/25 23:05:15 INFO partition.InputSampler: Using 1000 samples
16/03/25 23:05:15 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
16/03/25 23:05:15 INFO compress.CodecPool: Got brand-new compressor [.deflate]
16/03/25 23:05:15 INFO client.RMProxy: Connecting to ResourceManager at /0.0.0.0:8032
16/03/25 23:05:16 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/25 23:05:16 INFO input.FileInputFormat: Total input paths to process : 1
16/03/25 23:05:16 INFO mapreduce.JobSubmitter: number of splits:80
16/03/25 23:05:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1458946964034_0001
16/03/25 23:05:17 INFO impl.YarnClientImpl: Submitted application application_1458946964034_0001
16/03/25 23:05:17 INFO mapreduce.Job: The url to track the job: http://ec2-52-91-37-241.compute-1.amazonaws.com:8088/proxy/application_1458946964034_0001/
16/03/25 23:05:17 INFO mapreduce.Job: Running job: job_1458946964034_0001
16/03/25 23:05:27 INFO mapreduce.Job: Job job_1458946964034_0001 running in uber mode : false
16/03/25 23:24:37 INFO mapreduce.Job:  map 100% reduce 76%
16/03/25 23:24:40 INFO mapreduce.Job:  map 100% reduce 77%
16/03/25 23:24:46 INFO mapreduce.Job:  map 100% reduce 78%
16/03/25 23:24:52 INFO mapreduce.Job:  map 100% reduce 79%
16/03/25 23:24:58 INFO mapreduce.Job:  map 100% reduce 80%
16/03/25 23:25:01 INFO mapreduce.Job:  map 100% reduce 81%
16/03/25 23:25:07 INFO mapreduce.Job:  map 100% reduce 82%
16/03/25 23:25:13 INFO mapreduce.Job:  map 100% reduce 83%
16/03/25 23:25:19 INFO mapreduce.Job:  map 100% reduce 84%
16/03/25 23:25:22 INFO mapreduce.Job:  map 100% reduce 85%
16/03/25 23:25:28 INFO mapreduce.Job:  map 100% reduce 86%
16/03/25 23:25:34 INFO mapreduce.Job:  map 100% reduce 87%
16/03/25 23:25:40 INFO mapreduce.Job:  map 100% reduce 88%
16/03/25 23:25:46 INFO mapreduce.Job:  map 100% reduce 89%
16/03/25 23:25:49 INFO mapreduce.Job:  map 100% reduce 90%
16/03/25 23:25:55 INFO mapreduce.Job:  map 100% reduce 91%
16/03/25 23:26:01 INFO mapreduce.Job:  map 100% reduce 92%
16/03/25 23:26:08 INFO mapreduce.Job:  map 100% reduce 93%
16/03/25 23:26:11 INFO mapreduce.Job:  map 100% reduce 94%
16/03/25 23:26:17 INFO mapreduce.Job:  map 100% reduce 95%
16/03/25 23:26:23 INFO mapreduce.Job:  map 100% reduce 96%
16/03/25 23:26:29 INFO mapreduce.Job:  map 100% reduce 97%
16/03/25 23:26:32 INFO mapreduce.Job:  map 100% reduce 98%
16/03/25 23:26:38 INFO mapreduce.Job:  map 100% reduce 99%
16/03/25 23:26:44 INFO mapreduce.Job:  map 100% reduce 100%
16/03/25 23:26:46 INFO mapreduce.Job: Job job_1458946964034_0001 completed successfully
16/03/25 23:26:46 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=35757261290
